"type","character","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","img","corr_ans_num","task_response.keys","task_response.corr","resp_cat","cumAcc","condition"
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/pliers02b.jpg",1,2,0,"stimuli/Outdoor activity & sport item.png",0.333333333333333,0
0,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/painttray.jpg",2,3,0,"stimuli/Electronic device & accessory.png",0.326530612244898,1
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/measuringtape01.jpg",1,4,0,"stimuli/Outdoor activity & sport item.png",0.32,0
1,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/hammer01.jpg",1,1,1,"stimuli/Hand labour tool & accessory.png",0.333333333333333,0
0,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/bikehelmet.jpg",1,2,0,"stimuli/Hand labour tool & accessory.png",0.326923076923077,0
0,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Electronic device & accessory","stimuli/objects/carlighter02.jpg",3,2,0,"stimuli/Hand labour tool & accessory.png",0.320754716981132,0
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/basketballhoop01.jpg",4,2,0,"stimuli/Electronic device & accessory.png",0.314814814814815,1
0,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Kitchen & utensil","stimuli/objects/fonduefork01.jpg",3,4,0,"stimuli/Electronic device & accessory.png",0.309090909090909,1
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/snowboard.jpg",3,NA,0,NA,0.303571428571429,1
0,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/pickaxe02.jpg",1,4,0,"stimuli/Outdoor activity & sport item.png",0.298245614035088,1
0,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Electronic device & accessory","stimuli/objects/cellphone.jpg",1,2,0,"stimuli/Outdoor activity & sport item.png",0.293103448275862,1
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/bowlingball.jpg",2,3,0,"stimuli/Electronic device & accessory.png",0.288135593220339,1
1,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/podium.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.3,1
1,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/cheeseknife01.jpg",3,4,0,"stimuli/Kitchen & utensil.png",0.295081967213115,0
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/magneticcompass.jpg",4,3,0,"stimuli/Hand labour tool & accessory.png",0.290322580645161,1
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/bikewheel.jpg",3,3,1,"stimuli/Outdoor activity & sport item.png",0.301587301587302,1
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/reflector.jpg",2,2,1,"stimuli/Outdoor activity & sport item.png",0.3125,1
0,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Electronic device & accessory","stimuli/objects/scanner.jpg",4,1,0,"stimuli/Hand labour tool & accessory.png",0.307692307692308,1
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/swimgoggles.jpg",2,2,1,"stimuli/Outdoor activity & sport item.png",0.318181818181818,1
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/tennisracket.jpg",3,3,1,"stimuli/Outdoor activity & sport item.png",0.328358208955224,1
1,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/toyhockeystick01.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.338235294117647,1
0,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Kitchen & utensil","stimuli/objects/styrofoamcup.jpg",4,2,0,"stimuli/Electronic device & accessory.png",0.333333333333333,0
